"","Date","Season","home","visitor","FT","hgoal","vgoal","division","tier","totgoal","goaldif","result"
"1",1995-08-04,1995,"Aalst","Anderlecht","3-1",3,1,"B1",1,4,2,"H"
"2",1995-08-05,1995,"Cercle Brugge","Antwerp","3-2",3,2,"B1",1,5,1,"H"
"3",1995-08-05,1995,"Charleroi","Mechelen","4-2",4,2,"B1",1,6,2,"H"
"4",1995-08-05,1995,"Lierse","Harelbeke","0-1",0,1,"B1",1,1,-1,"A"
"5",1995-08-05,1995,"Molenbeek","Beveren","1-0",1,0,"B1",1,1,1,"H"
"6",1995-08-05,1995,"St Truiden","Seraing","4-1",4,1,"B1",1,5,3,"H"
"7",1995-08-05,1995,"Standard","Lommel","1-0",1,0,"B1",1,1,1,"H"
"8",1995-08-05,1995,"Waregem","Gent","2-2",2,2,"B1",1,4,0,"D"
"9",1995-08-06,1995,"Germinal","Club Brugge","1-2",1,2,"B1",1,3,-1,"A"
"10",1995-08-11,1995,"Club Brugge","St Truiden","2-0",2,0,"B1",1,2,2,"H"
"11",1995-08-12,1995,"Anderlecht","Charleroi","0-2",0,2,"B1",1,2,-2,"A"
"12",1995-08-12,1995,"Antwerp","Lierse","3-1",3,1,"B1",1,4,2,"H"
"13",1995-08-12,1995,"Beveren","Aalst","0-2",0,2,"B1",1,2,-2,"A"
"14",1995-08-12,1995,"Gent","Standard","2-4",2,4,"B1",1,6,-2,"A"
"15",1995-08-12,1995,"Lommel","Cercle Brugge","0-1",0,1,"B1",1,1,-1,"A"
"16",1995-08-12,1995,"Mechelen","Germinal","1-1",1,1,"B1",1,2,0,"D"
"17",1995-08-12,1995,"Seraing","Waregem","0-2",0,2,"B1",1,2,-2,"A"
"18",1995-08-13,1995,"Harelbeke","Molenbeek","4-2",4,2,"B1",1,6,2,"H"
"19",1995-08-16,1995,"Aalst","Harelbeke","2-0",2,0,"B1",1,2,2,"H"
"20",1995-08-16,1995,"Cercle Brugge","Gent","0-0",0,0,"B1",1,0,0,"D"
"21",1995-08-16,1995,"Charleroi","Beveren","3-1",3,1,"B1",1,4,2,"H"
"22",1995-08-16,1995,"Lierse","Lommel","3-1",3,1,"B1",1,4,2,"H"
"23",1995-08-16,1995,"Molenbeek","Antwerp","0-0",0,0,"B1",1,0,0,"D"
"24",1995-08-16,1995,"Seraing","Club Brugge","1-1",1,1,"B1",1,2,0,"D"
"25",1995-08-16,1995,"St Truiden","Mechelen","2-2",2,2,"B1",1,4,0,"D"
"26",1995-08-16,1995,"Waregem","Standard","0-4",0,4,"B1",1,4,-4,"A"
"27",1995-08-20,1995,"Anderlecht","St Truiden","4-0",4,0,"B1",1,4,4,"H"
"28",1995-08-20,1995,"Antwerp","Aalst","0-1",0,1,"B1",1,1,-1,"A"
"29",1995-08-20,1995,"Beveren","Germinal","3-2",3,2,"B1",1,5,1,"H"
"30",1995-08-20,1995,"Gent","Lierse","0-2",0,2,"B1",1,2,-2,"A"
"31",1995-08-20,1995,"Lommel","Molenbeek","0-1",0,1,"B1",1,1,-1,"A"
"32",1995-08-20,1995,"Mechelen","Seraing","1-4",1,4,"B1",1,5,-3,"A"
"33",1995-08-20,1995,"Standard","Cercle Brugge","4-0",4,0,"B1",1,4,4,"H"
"34",1995-08-21,1995,"Club Brugge","Waregem","3-1",3,1,"B1",1,4,2,"H"
"35",1995-08-21,1995,"Harelbeke","Charleroi","4-0",4,0,"B1",1,4,4,"H"
"36",1995-08-27,1995,"Aalst","Lommel","4-1",4,1,"B1",1,5,3,"H"
"37",1995-08-27,1995,"Charleroi","Antwerp","2-0",2,0,"B1",1,2,2,"H"
"38",1995-08-27,1995,"Club Brugge","Mechelen","6-0",6,0,"B1",1,6,6,"H"
"39",1995-08-27,1995,"Germinal","Harelbeke","1-1",1,1,"B1",1,2,0,"D"
"40",1995-08-27,1995,"Lierse","Standard","0-0",0,0,"B1",1,0,0,"D"
"41",1995-08-27,1995,"Molenbeek","Gent","1-0",1,0,"B1",1,1,1,"H"
"42",1995-08-27,1995,"Seraing","Anderlecht","2-1",2,1,"B1",1,3,1,"H"
"43",1995-08-27,1995,"St Truiden","Beveren","0-2",0,2,"B1",1,2,-2,"A"
"44",1995-08-27,1995,"Waregem","Cercle Brugge","1-1",1,1,"B1",1,2,0,"D"
"45",1995-08-29,1995,"Anderlecht","Club Brugge","2-1",2,1,"B1",1,3,1,"H"
"46",1995-08-29,1995,"Beveren","Seraing","1-0",1,0,"B1",1,1,1,"H"
"47",1995-08-29,1995,"Cercle Brugge","Lierse","2-3",2,3,"B1",1,5,-1,"A"
"48",1995-08-29,1995,"Gent","Aalst","3-1",3,1,"B1",1,4,2,"H"
"49",1995-08-29,1995,"Harelbeke","St Truiden","3-0",3,0,"B1",1,3,3,"H"
"50",1995-08-29,1995,"Lommel","Charleroi","1-1",1,1,"B1",1,2,0,"D"
"51",1995-08-29,1995,"Mechelen","Waregem","3-0",3,0,"B1",1,3,3,"H"
"52",1995-08-29,1995,"Standard","Molenbeek","1-1",1,1,"B1",1,2,0,"D"
"53",1995-09-10,1995,"Aalst","Standard","1-1",1,1,"B1",1,2,0,"D"
"54",1995-09-10,1995,"Charleroi","Gent","3-3",3,3,"B1",1,6,0,"D"
"55",1995-09-10,1995,"Club Brugge","Beveren","3-1",3,1,"B1",1,4,2,"H"
"56",1995-09-10,1995,"Germinal","Lommel","1-2",1,2,"B1",1,3,-1,"A"
"57",1995-09-10,1995,"Mechelen","Anderlecht","1-3",1,3,"B1",1,4,-2,"A"
"58",1995-09-10,1995,"Molenbeek","Cercle Brugge","2-2",2,2,"B1",1,4,0,"D"
"59",1995-09-10,1995,"Seraing","Harelbeke","0-1",0,1,"B1",1,1,-1,"A"
"60",1995-09-10,1995,"St Truiden","Antwerp","2-3",2,3,"B1",1,5,-1,"A"
"61",1995-09-10,1995,"Waregem","Lierse","1-3",1,3,"B1",1,4,-2,"A"
"62",1995-09-17,1995,"Anderlecht","Waregem","2-0",2,0,"B1",1,2,2,"H"
"63",1995-09-17,1995,"Antwerp","Seraing","4-2",4,2,"B1",1,6,2,"H"
"64",1995-09-17,1995,"Beveren","Mechelen","1-1",1,1,"B1",1,2,0,"D"
"65",1995-09-17,1995,"Cercle Brugge","Aalst","1-1",1,1,"B1",1,2,0,"D"
"66",1995-09-17,1995,"Gent","Germinal","0-2",0,2,"B1",1,2,-2,"A"
"67",1995-09-17,1995,"Lierse","Molenbeek","1-1",1,1,"B1",1,2,0,"D"
"68",1995-09-17,1995,"Lommel","St Truiden","2-3",2,3,"B1",1,5,-1,"A"
"69",1995-09-17,1995,"Standard","Charleroi","2-2",2,2,"B1",1,4,0,"D"
"70",1995-09-18,1995,"Harelbeke","Club Brugge","0-2",0,2,"B1",1,2,-2,"A"
"71",1995-09-20,1995,"Aalst","Lierse","1-2",1,2,"B1",1,3,-1,"A"
"72",1995-09-20,1995,"Anderlecht","Beveren","1-0",1,0,"B1",1,1,1,"H"
"73",1995-09-20,1995,"Charleroi","Cercle Brugge","1-1",1,1,"B1",1,2,0,"D"
"74",1995-09-20,1995,"Club Brugge","Antwerp","2-0",2,0,"B1",1,2,2,"H"
"75",1995-09-20,1995,"Germinal","Standard","2-0",2,0,"B1",1,2,2,"H"
"76",1995-09-20,1995,"Mechelen","Harelbeke","1-0",1,0,"B1",1,1,1,"H"
"77",1995-09-20,1995,"Seraing","Lommel","2-1",2,1,"B1",1,3,1,"H"
"78",1995-09-20,1995,"St Truiden","Gent","1-0",1,0,"B1",1,1,1,"H"
"79",1995-09-20,1995,"Waregem","Molenbeek","0-1",0,1,"B1",1,1,-1,"A"
"80",1995-09-24,1995,"Antwerp","Mechelen","1-2",1,2,"B1",1,3,-1,"A"
"81",1995-09-24,1995,"Beveren","Waregem","5-1",5,1,"B1",1,6,4,"H"
"82",1995-09-24,1995,"Cercle Brugge","Germinal","2-2",2,2,"B1",1,4,0,"D"
"83",1995-09-24,1995,"Gent","Seraing","4-2",4,2,"B1",1,6,2,"H"
"84",1995-09-24,1995,"Harelbeke","Anderlecht","0-4",0,4,"B1",1,4,-4,"A"
"85",1995-09-24,1995,"Lierse","Charleroi","2-1",2,1,"B1",1,3,1,"H"
"86",1995-09-24,1995,"Lommel","Club Brugge","2-2",2,2,"B1",1,4,0,"D"
"87",1995-09-24,1995,"Molenbeek","Aalst","0-0",0,0,"B1",1,0,0,"D"
"88",1995-09-24,1995,"Standard","St Truiden","1-1",1,1,"B1",1,2,0,"D"
"89",1995-09-30,1995,"Anderlecht","Antwerp","1-1",1,1,"B1",1,2,0,"D"
"90",1995-09-30,1995,"Beveren","Harelbeke","0-0",0,0,"B1",1,0,0,"D"
"91",1995-09-30,1995,"Charleroi","Molenbeek","2-2",2,2,"B1",1,4,0,"D"
"92",1995-09-30,1995,"Club Brugge","Gent","3-0",3,0,"B1",1,3,3,"H"
"93",1995-09-30,1995,"Germinal","Lierse","1-1",1,1,"B1",1,2,0,"D"
"94",1995-09-30,1995,"Mechelen","Lommel","2-0",2,0,"B1",1,2,2,"H"
"95",1995-09-30,1995,"Seraing","Standard","0-0",0,0,"B1",1,0,0,"D"
"96",1995-09-30,1995,"St Truiden","Cercle Brugge","1-1",1,1,"B1",1,2,0,"D"
"97",1995-09-30,1995,"Waregem","Aalst","0-0",0,0,"B1",1,0,0,"D"
"98",1995-10-07,1995,"Germinal","Anderlecht","2-2",2,2,"B1",1,4,0,"D"
"99",1995-10-15,1995,"Aalst","Charleroi","3-4",3,4,"B1",1,7,-1,"A"
"100",1995-10-15,1995,"Cercle Brugge","Seraing","0-0",0,0,"B1",1,0,0,"D"
"101",1995-10-15,1995,"Gent","Mechelen","0-0",0,0,"B1",1,0,0,"D"
"102",1995-10-15,1995,"Lierse","St Truiden","3-0",3,0,"B1",1,3,3,"H"
"103",1995-10-15,1995,"Lommel","Anderlecht","2-2",2,2,"B1",1,4,0,"D"
"104",1995-10-15,1995,"Molenbeek","Germinal","1-0",1,0,"B1",1,1,1,"H"
"105",1995-10-15,1995,"Standard","Club Brugge","1-0",1,0,"B1",1,1,1,"H"
"106",1995-10-16,1995,"Antwerp","Beveren","1-1",1,1,"B1",1,2,0,"D"
"107",1995-10-16,1995,"Harelbeke","Waregem","2-1",2,1,"B1",1,3,1,"H"
"108",1995-10-22,1995,"Anderlecht","Gent","3-0",3,0,"B1",1,3,3,"H"
"109",1995-10-22,1995,"Beveren","Lommel","0-1",0,1,"B1",1,1,-1,"A"
"110",1995-10-22,1995,"Club Brugge","Cercle Brugge","2-2",2,2,"B1",1,4,0,"D"
"111",1995-10-22,1995,"Germinal","Aalst","5-1",5,1,"B1",1,6,4,"H"
"112",1995-10-22,1995,"Harelbeke","Antwerp","3-1",3,1,"B1",1,4,2,"H"
"113",1995-10-22,1995,"Mechelen","Standard","2-0",2,0,"B1",1,2,2,"H"
"114",1995-10-22,1995,"Seraing","Lierse","1-3",1,3,"B1",1,4,-2,"A"
"115",1995-10-22,1995,"St Truiden","Molenbeek","0-1",0,1,"B1",1,1,-1,"A"
"116",1995-10-23,1995,"Waregem","Charleroi","4-1",4,1,"B1",1,5,3,"H"
"117",1995-10-29,1995,"Aalst","St Truiden","0-0",0,0,"B1",1,0,0,"D"
"118",1995-10-29,1995,"Antwerp","Waregem","2-0",2,0,"B1",1,2,2,"H"
"119",1995-10-29,1995,"Cercle Brugge","Mechelen","3-2",3,2,"B1",1,5,1,"H"
"120",1995-10-29,1995,"Charleroi","Germinal","1-1",1,1,"B1",1,2,0,"D"
"121",1995-10-29,1995,"Gent","Beveren","3-0",3,0,"B1",1,3,3,"H"
"122",1995-10-29,1995,"Lierse","Club Brugge","2-2",2,2,"B1",1,4,0,"D"
"123",1995-10-29,1995,"Lommel","Harelbeke","2-0",2,0,"B1",1,2,2,"H"
"124",1995-10-29,1995,"Molenbeek","Seraing","4-0",4,0,"B1",1,4,4,"H"
"125",1995-10-29,1995,"Standard","Anderlecht","2-4",2,4,"B1",1,6,-2,"A"
"126",1995-11-05,1995,"Anderlecht","Cercle Brugge","3-0",3,0,"B1",1,3,3,"H"
"127",1995-11-05,1995,"Antwerp","Lommel","4-1",4,1,"B1",1,5,3,"H"
"128",1995-11-05,1995,"Beveren","Standard","0-0",0,0,"B1",1,0,0,"D"
"129",1995-11-05,1995,"Club Brugge","Molenbeek","3-0",3,0,"B1",1,3,3,"H"
"130",1995-11-05,1995,"Harelbeke","Gent","0-1",0,1,"B1",1,1,-1,"A"
"131",1995-11-05,1995,"Mechelen","Lierse","0-0",0,0,"B1",1,0,0,"D"
"132",1995-11-05,1995,"Seraing","Aalst","2-4",2,4,"B1",1,6,-2,"A"
"133",1995-11-05,1995,"St Truiden","Charleroi","4-1",4,1,"B1",1,5,3,"H"
"134",1995-11-05,1995,"Waregem","Germinal","1-0",1,0,"B1",1,1,1,"H"
"135",1995-11-11,1995,"Antwerp","Germinal","0-2",0,2,"B1",1,2,-2,"A"
"136",1995-11-19,1995,"Aalst","Club Brugge","0-2",0,2,"B1",1,2,-2,"A"
"137",1995-11-19,1995,"Cercle Brugge","Beveren","2-0",2,0,"B1",1,2,2,"H"
"138",1995-11-19,1995,"Charleroi","Seraing","4-2",4,2,"B1",1,6,2,"H"
"139",1995-11-19,1995,"Gent","Antwerp","1-0",1,0,"B1",1,1,1,"H"
"140",1995-11-19,1995,"Germinal","St Truiden","3-1",3,1,"B1",1,4,2,"H"
"141",1995-11-19,1995,"Lierse","Anderlecht","3-2",3,2,"B1",1,5,1,"H"
"142",1995-11-19,1995,"Molenbeek","Mechelen","0-1",0,1,"B1",1,1,-1,"A"
"143",1995-11-19,1995,"Standard","Harelbeke","2-1",2,1,"B1",1,3,1,"H"
"144",1995-11-19,1995,"Waregem","Lommel","1-3",1,3,"B1",1,4,-2,"A"
"145",1995-11-24,1995,"Club Brugge","Charleroi","0-0",0,0,"B1",1,0,0,"D"
"146",1995-11-25,1995,"Anderlecht","Molenbeek","1-0",1,0,"B1",1,1,1,"H"
"147",1995-11-25,1995,"Beveren","Lierse","2-2",2,2,"B1",1,4,0,"D"
"148",1995-11-25,1995,"Lommel","Gent","1-1",1,1,"B1",1,2,0,"D"
"149",1995-11-25,1995,"Mechelen","Aalst","1-0",1,0,"B1",1,1,1,"H"
"150",1995-11-25,1995,"Seraing","Germinal","1-1",1,1,"B1",1,2,0,"D"
"151",1995-11-25,1995,"St Truiden","Waregem","1-1",1,1,"B1",1,2,0,"D"
"152",1995-11-26,1995,"Antwerp","Standard","3-2",3,2,"B1",1,5,1,"H"
"153",1995-11-26,1995,"Harelbeke","Cercle Brugge","0-2",0,2,"B1",1,2,-2,"A"
"154",1995-12-02,1995,"Anderlecht","Aalst","4-0",4,0,"B1",1,4,4,"H"
"155",1995-12-03,1995,"Antwerp","Cercle Brugge","0-1",0,1,"B1",1,1,-1,"A"
"156",1995-12-03,1995,"Beveren","Molenbeek","1-1",1,1,"B1",1,2,0,"D"
"157",1995-12-03,1995,"Club Brugge","Germinal","3-1",3,1,"B1",1,4,2,"H"
"158",1995-12-03,1995,"Gent","Waregem","0-0",0,0,"B1",1,0,0,"D"
"159",1995-12-03,1995,"Harelbeke","Lierse","2-3",2,3,"B1",1,5,-1,"A"
"160",1995-12-03,1995,"Lommel","Standard","1-0",1,0,"B1",1,1,1,"H"
"161",1995-12-03,1995,"Mechelen","Charleroi","1-2",1,2,"B1",1,3,-1,"A"
"162",1995-12-03,1995,"Seraing","St Truiden","1-2",1,2,"B1",1,3,-1,"A"
