"Date","Season","home","visitor","FT","hgoal","vgoal","division","tier","totgoal","goaldif","result"
2024-07-27,2024,"Anderlecht","St Truiden","1-0",1,0,"B1",1,1,1,"H"
2024-07-27,2024,"Beerschot VA","Oud-Heverlee Leuven","0-0",0,0,"B1",1,0,0,"D"
2024-07-28,2024,"Charleroi","Antwerp","0-1",0,1,"B1",1,1,-1,"A"
2024-07-26,2024,"Club Brugge","Mechelen","1-1",1,1,"B1",1,2,0,"D"
2024-07-27,2024,"Dender","Royal Union Saint-Gilloise","0-0",0,0,"B1",1,0,0,"D"
2024-07-28,2024,"Genk","Standard","0-0",0,0,"B1",1,0,0,"D"
2024-07-28,2024,"Kortrijk","Gent","0-1",0,1,"B1",1,1,-1,"A"
2024-07-28,2024,"Westerlo","Cercle Brugge","3-0",3,0,"B1",1,3,3,"H"
2024-08-02,2024,"Royal Union Saint-Gilloise","Beerschot VA","3-1",3,1,"B1",1,4,2,"H"
2024-08-03,2024,"Mechelen","Westerlo","2-4",2,4,"B1",1,6,-2,"A"
2024-08-03,2024,"Oud-Heverlee Leuven","Genk","3-1",3,1,"B1",1,4,2,"H"
2024-08-03,2024,"St Truiden","Charleroi","1-4",1,4,"B1",1,5,-3,"A"
2024-08-04,2024,"Antwerp","Anderlecht","1-2",1,2,"B1",1,3,-1,"A"
2024-08-04,2024,"Cercle Brugge","Kortrijk","1-2",1,2,"B1",1,3,-1,"A"
2024-08-04,2024,"Standard","Club Brugge","1-0",1,0,"B1",1,1,1,"H"
2024-08-04,2024,"Gent","Dender","1-2",1,2,"B1",1,3,-1,"A"
2024-08-09,2024,"Standard","Mechelen","0-0",0,0,"B1",1,0,0,"D"
2024-08-10,2024,"Dender","Kortrijk","4-1",4,1,"B1",1,5,3,"H"
2024-08-10,2024,"Westerlo","Royal Union Saint-Gilloise","4-3",4,3,"B1",1,7,1,"H"
2024-08-10,2024,"Anderlecht","Oud-Heverlee Leuven","1-1",1,1,"B1",1,2,0,"D"
2024-08-11,2024,"Genk","Club Brugge","3-2",3,2,"B1",1,5,1,"H"
2024-08-11,2024,"Antwerp","St Truiden","6-1",6,1,"B1",1,7,5,"H"
2024-08-11,2024,"Charleroi","Gent","1-0",1,0,"B1",1,1,1,"H"
2024-08-11,2024,"Cercle Brugge","Beerschot VA","4-1",4,1,"B1",1,5,3,"H"
2024-08-16,2024,"Royal Union Saint-Gilloise","Charleroi","1-0",1,0,"B1",1,1,1,"H"
2024-08-17,2024,"Beerschot VA","Genk","3-4",3,4,"B1",1,7,-1,"A"
2024-08-17,2024,"St Truiden","Dender","3-3",3,3,"B1",1,6,0,"D"
2024-08-17,2024,"Mechelen","Anderlecht","1-3",1,3,"B1",1,4,-2,"A"
2024-08-18,2024,"Club Brugge","Antwerp","1-0",1,0,"B1",1,1,1,"H"
2024-08-18,2024,"Oud-Heverlee Leuven","Cercle Brugge","1-1",1,1,"B1",1,2,0,"D"
2024-08-18,2024,"Kortrijk","Standard","1-0",1,0,"B1",1,1,1,"H"
2024-08-18,2024,"Gent","Westerlo","4-1",4,1,"B1",1,5,3,"H"
2024-08-24,2024,"Westerlo","Oud-Heverlee Leuven","1-1",1,1,"B1",1,2,0,"D"
2024-08-24,2024,"Antwerp","Mechelen","0-1",0,1,"B1",1,1,-1,"A"
2024-08-25,2024,"Dender","Club Brugge","1-2",1,2,"B1",1,3,-1,"A"
2024-08-25,2024,"St Truiden","Royal Union Saint-Gilloise","0-0",0,0,"B1",1,0,0,"D"
2024-08-25,2024,"Standard","Beerschot VA","1-0",1,0,"B1",1,1,1,"H"
2024-08-25,2024,"Charleroi","Kortrijk","1-0",1,0,"B1",1,1,1,"H"
2024-08-30,2024,"Genk","Westerlo","1-0",1,0,"B1",1,1,1,"H"
2024-08-31,2024,"Mechelen","Charleroi","5-2",5,2,"B1",1,7,3,"H"
2024-08-31,2024,"Beerschot VA","Dender","1-2",1,2,"B1",1,3,-1,"A"
2024-08-31,2024,"Oud-Heverlee Leuven","Standard","2-0",2,0,"B1",1,2,2,"H"
2024-09-01,2024,"Club Brugge","Cercle Brugge","3-0",3,0,"B1",1,3,3,"H"
2024-09-01,2024,"Gent","Antwerp","1-1",1,1,"B1",1,2,0,"D"
2024-09-01,2024,"Royal Union Saint-Gilloise","Anderlecht","0-0",0,0,"B1",1,0,0,"D"
2024-09-01,2024,"Kortrijk","St Truiden","1-1",1,1,"B1",1,2,0,"D"
2024-09-13,2024,"Dender","Standard","0-2",0,2,"B1",1,2,-2,"A"
2024-09-14,2024,"Cercle Brugge","Genk","2-3",2,3,"B1",1,5,-1,"A"
2024-09-14,2024,"Kortrijk","Club Brugge","0-3",0,3,"B1",1,3,-3,"A"
2024-09-14,2024,"Anderlecht","Westerlo","2-2",2,2,"B1",1,4,0,"D"
2024-09-15,2024,"Antwerp","Royal Union Saint-Gilloise","2-0",2,0,"B1",1,2,2,"H"
2024-09-15,2024,"St Truiden","Oud-Heverlee Leuven","2-1",2,1,"B1",1,3,1,"H"
2024-09-15,2024,"Charleroi","Beerschot VA","3-0",3,0,"B1",1,3,3,"H"
