"Date","Season","round","leg","home","visitor","FT","HT","aet","pens","hgoal","vgoal","FTagg_home","FTagg_visitor","aethgoal","aetvgoal","tothgoal","totvgoal","totagg_home","totagg_visitor","tiewinner"
1955-09-04,1955,"Round1","1","Sporting CP","FK Partizani","3-3","1-1",NA,NA,3,3,5,8,NA,NA,3,3,5,8,"FK Partizani"
1955-09-07,1955,"Round1","1","Budapesti Voros Lobogo","RSC Anderlecht","6-3","3-2",NA,NA,6,3,10,4,NA,NA,6,3,10,4,"Budapesti Voros Lobogo"
1955-09-08,1955,"Round1","1","Servette Geneve","Real Madrid","0-2","0-0",NA,NA,0,2,0,7,NA,NA,0,2,0,7,"Real Madrid"
1955-09-14,1955,"Round1","1","Rot-Weiss Essen","Hibernian FC","0-4","0-2",NA,NA,0,4,1,5,NA,NA,0,4,1,5,"Hibernian FC"
1955-09-20,1955,"Round1","1","Djurgardens IF","Gwardia Warszawa","0-0","0-0",NA,NA,0,0,4,1,NA,NA,0,0,4,1,"Djurgardens IF"
1955-09-21,1955,"Round1","1","Aarhus GF","Stade Reims","0-2","0-1",NA,NA,0,2,2,4,NA,NA,0,2,2,4,"Stade Reims"
1955-09-21,1955,"Round1","1","Rapid Wien","PSV Eindhoven","6-1","1-1",NA,NA,6,1,6,2,NA,NA,6,1,6,2,"Rapid Wien"
1955-10-12,1955,"Round1","2","Gwardia Warszawa","Djurgardens IF","1-4","1-4",NA,NA,1,4,1,4,NA,NA,1,4,1,4,"Djurgardens IF"
1955-10-12,1955,"Round1","2","FK Partizani","Sporting CP","5-2","2-0",NA,NA,5,2,8,5,NA,NA,5,2,8,5,"FK Partizani"
1955-10-12,1955,"Round1","2","Hibernian FC","Rot-Weiss Essen","1-1","1-0",NA,NA,1,1,5,1,NA,NA,1,1,5,1,"Hibernian FC"
1955-10-12,1955,"Round1","2","Real Madrid","Servette Geneve","5-0","2-0",NA,NA,5,0,7,0,NA,NA,5,0,7,0,"Real Madrid"
1955-10-19,1955,"Round1","2","RSC Anderlecht","Budapesti Voros Lobogo","1-4","1-1",NA,NA,1,4,4,10,NA,NA,1,4,4,10,"Budapesti Voros Lobogo"
