team,lat,lon,highest_div,col1,col2,founded,dissolved,ground,short_name,three_letter_name,nicknames,,SOURCE
Royal Engineers,51.385539,0.534062,NA,NA,NA,NA,NA,NA,NA,NA,Sappers,,https://web.archive.org/web/20090907202058/http://www.the-football-club.com/football-nicknames.html
Oxford University,51.7459,-1.2431,NA,NA,NA,NA,NA,NA,NA,NA,Blues,,
Clapham Rovers,51.4578,-0.1494,NA,NA,NA,1869,NA,NA,NA,NA,Rovers,,
Old Harrovians,51.573653,-0.347518,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Old Foresters,51.587875,0.013522,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swifts,51.51,-0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Church,53.75337,-2.36384,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Redcar,54.61856,-1.06856,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Brentwood,51.634,0.3006,NA,NA,NA,NA,NA,NA,NA,NA,The Blues,,
South Shore,53.804722,-3.048056,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Chirk,52.941105,-3.0584,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Glasgow Rangers,55.853206,-4.309258,NA,NA,NA,NA,NA,NA,NA,NA,The Gers,,
AFC Bournemouth,50.735278,-1.838333,1,#F70001,#000000,NA,NA,NA,Bournemouth,NA,The Cherries,,
New Brighton,53.431661,-3.067386,3,#802131,#FFFFFF,NA,NA,NA,NA,NA,NA,,
Chester City,53.1892,-2.9238,NA,NA,NA,NA,NA,NA,NA,NA,"The Seals, The Blues",,
Lovells Athletic,51.599607,-2.994627,NA,NA,NA,1918,1969,Rexville,NA,NA,NA,,
Stafford Rangers,52.818542,-2.116858,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Farnborough Town,51.310451,-0.762269,NA,NA,NA,NA,NA,NA,NA,NA,"Boro, The Yellows",,
Stevenage Borough,51.889839,-0.193608,3,#FF0000,#FFFFFF,NA,NA,NA,NA,NA,The Boro,,
Crystal Palace 1861,51.4203,-0.0705,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cambridge University,52.204,0.1057,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barnes,51.473611,-0.230833,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Pilgrims,51.559673,-0.0557,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Old Salopians,51.477808,-0.255819,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Herts Rangers,51.655,-0.395694,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Panthers,50.935711,-2.301428,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Forest School,51.5861,0.0093,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Finchley,51.599,-0.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Birch,53.3388,-2.1357,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Mosquitos,51.4578,-0.1494,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
