"Date","Season","home","visitor","FT","hgoal","vgoal","division","tier","totgoal","goaldif","result"
1933-07-01,1932,"CA Paris (alt)","AS Cannes","5-1",5,1,"1",1,6,4,"H"
1933-07-01,1932,"SC Fives Lille","FC Sete","4-2",4,2,"1",1,6,2,"H"
1933-07-01,1932,"Olympique Marseille","OGC Nice","4-0",4,0,"1",1,4,4,"H"
1933-07-01,1932,"SC Nimes","Olympique Lillois Lille","3-3",3,3,"1",1,6,0,"D"
1933-07-01,1932,"FC Antibes","Stade Rennes","1-1",1,1,"1",1,2,0,"D"
1933-07-01,1932,"Stade Olympique Montpellierain","Racing Club de France","1-0",1,0,"1",1,1,1,"H"
1933-07-01,1932,"Excelsior Roubaix","FC Sochaux","2-1",2,1,"1",1,3,1,"H"
1933-07-01,1932,"FC Sete","CA Paris (alt)","6-2",6,2,"1",1,8,4,"H"
1933-07-01,1932,"OGC Nice","Excelsior Roubaix","3-3",3,3,"1",1,6,0,"D"
1933-07-01,1932,"Racing Club de France","Olympique Lillois Lille","1-0",1,0,"1",1,1,1,"H"
1933-07-01,1932,"AS Cannes","Olympique Marseille","1-1",1,1,"1",1,2,0,"D"
1933-07-01,1932,"SC Fives Lille","SC Nimes","5-2",5,2,"1",1,7,3,"H"
1933-07-01,1932,"Stade Rennes","Stade Olympique Montpellierain","2-6",2,6,"1",1,8,-4,"D"
1933-07-01,1932,"FC Sochaux","FC Antibes","6-4",6,4,"1",1,10,2,"H"
1933-07-01,1932,"FC Antibes","OGC Nice","3-2",3,2,"1",1,5,1,"H"
1933-07-01,1932,"Stade Olympique Montpellierain","FC Sochaux","3-2",3,2,"1",1,5,1,"H"
1933-07-01,1932,"Olympique Marseille","FC Sete","3-3",3,3,"1",1,6,0,"D"
1933-07-01,1932,"Olympique Lillois Lille","Stade Rennes","5-4",5,4,"1",1,9,1,"H"
1933-07-01,1932,"Excelsior Roubaix","AS Cannes","3-1",3,1,"1",1,4,2,"H"
1933-07-01,1932,"SC Nimes","Racing Club de France","3-1",3,1,"1",1,4,2,"H"
1933-07-01,1932,"CA Paris (alt)","SC Fives Lille","0-1",0,1,"1",1,1,-1,"D"
1933-07-01,1932,"FC Sete","Excelsior Roubaix","4-2",4,2,"1",1,6,2,"H"
1933-07-01,1932,"AS Cannes","FC Antibes","1-0",1,0,"1",1,1,1,"H"
1933-07-01,1932,"Stade Rennes","Racing Club de France","2-1",2,1,"1",1,3,1,"H"
1933-07-01,1932,"CA Paris (alt)","SC Nimes","7-0",7,0,"1",1,7,7,"H"
1933-07-01,1932,"SC Fives Lille","Olympique Marseille","2-3",2,3,"1",1,5,-1,"D"
1933-07-01,1932,"FC Sochaux","Olympique Lillois Lille","3-5",3,5,"1",1,8,-2,"D"
1933-07-01,1932,"OGC Nice","Stade Olympique Montpellierain","1-1",1,1,"1",1,2,0,"D"
1933-07-01,1932,"OGC Nice","CA Paris (alt)","5-2",5,2,"1",1,7,3,"H"
1933-07-01,1932,"Stade Rennes","Excelsior Roubaix","5-2",5,2,"1",1,7,3,"H"
1933-07-01,1932,"Racing Club de France","FC Antibes","5-2",5,2,"1",1,7,3,"H"
1933-07-01,1932,"FC Sochaux","Olympique Marseille","4-1",4,1,"1",1,5,3,"H"
1933-07-01,1932,"AS Cannes","SC Fives Lille","0-0",0,0,"1",1,0,0,"D"
1933-07-01,1932,"FC Sete","SC Nimes","8-2",8,2,"1",1,10,6,"H"
1933-07-01,1932,"Olympique Lillois Lille","Stade Olympique Montpellierain","6-2",6,2,"1",1,8,4,"H"
1933-07-01,1932,"FC Sete","AS Cannes","4-0",4,0,"1",1,4,4,"H"
1933-07-01,1932,"CA Paris (alt)","FC Sochaux","4-6",4,6,"1",1,10,-2,"D"
1933-07-01,1932,"FC Antibes","Olympique Lillois Lille","3-1",3,1,"1",1,4,2,"H"
1933-07-01,1932,"Excelsior Roubaix","Racing Club de France","3-6",3,6,"1",1,9,-3,"D"
