"Date","Season","home","visitor","FT","hgoal","vgoal","tier"
"1963-08-24",1963,"Werder Bremen","Borussia Dortmund","3-2",3,2,1
"1963-08-24",1963,"1. FC Saarbrucken","1. FC Koln","0-2",0,2,1
"1963-08-24",1963,"TSV 1860 Munchen","Eintracht Braunschweig","1-1",1,1,1
"1963-08-24",1963,"Frankfurter SG Eintracht","1. FC Kaiserslautern","1-1",1,1,1
"1963-08-24",1963,"FC Schalke 04","VfB Stuttgart","2-0",2,0,1
"1963-08-24",1963,"Preussen Munster","Hamburger SV","1-1",1,1,1
"1963-08-24",1963,"Karlsruher SC","Meidericher SV","1-4",1,4,1
"1963-08-24",1963,"Hertha BSC","1. FC Nurnberg","1-1",1,1,1
"1963-08-31",1963,"Borussia Dortmund","TSV 1860 Munchen","3-3",3,3,1
"1963-08-31",1963,"Hamburger SV","1. FC Saarbrucken","4-2",4,2,1
"1963-08-31",1963,"1. FC Nurnberg","Werder Bremen","3-0",3,0,1
"1963-08-31",1963,"1. FC Koln","Karlsruher SC","4-0",4,0,1
"1963-08-31",1963,"1. FC Kaiserslautern","FC Schalke 04","2-3",2,3,1
"1963-08-31",1963,"VfB Stuttgart","Hertha BSC","2-0",2,0,1
"1963-08-31",1963,"Meidericher SV","Frankfurter SG Eintracht","3-1",3,1,1
"1963-08-31",1963,"Eintracht Braunschweig","Preussen Munster","1-0",1,0,1
"1963-09-07",1963,"TSV 1860 Munchen","1. FC Koln","1-3",1,3,1
"1963-09-07",1963,"Karlsruher SC","Hamburger SV","0-4",0,4,1
"1963-09-07",1963,"Frankfurter SG Eintracht","1. FC Nurnberg","2-3",2,3,1
"1963-09-07",1963,"FC Schalke 04","Borussia Dortmund","3-1",3,1,1
"1963-09-07",1963,"Werder Bremen","VfB Stuttgart","2-2",2,2,1
"1963-09-07",1963,"Hertha BSC","1. FC Kaiserslautern","2-2",2,2,1
"1963-09-07",1963,"Preussen Munster","Meidericher SV","4-2",4,2,1
"1963-09-07",1963,"1. FC Saarbrucken","Eintracht Braunschweig","2-2",2,2,1
"1963-09-14",1963,"1. FC Koln","FC Schalke 04","2-2",2,2,1
"1963-09-14",1963,"1. FC Nurnberg","Preussen Munster","2-2",2,2,1
"1963-09-14",1963,"Borussia Dortmund","1. FC Saarbrucken","2-1",2,1,1
"1963-09-14",1963,"Hamburger SV","Frankfurter SG Eintracht","3-0",3,0,1
"1963-09-14",1963,"VfB Stuttgart","TSV 1860 Munchen","1-1",1,1,1
"1963-09-14",1963,"1. FC Kaiserslautern","Werder Bremen","3-0",3,0,1
"1963-09-14",1963,"Meidericher SV","Hertha BSC","1-3",1,3,1
"1963-09-14",1963,"Eintracht Braunschweig","Karlsruher SC","2-0",2,0,1
"1963-09-21",1963,"FC Schalke 04","Hamburger SV","1-0",1,0,1
"1963-09-21",1963,"1. FC Saarbrucken","1. FC Nurnberg","3-5",3,5,1
"1963-09-21",1963,"Hertha BSC","1. FC Koln","0-3",0,3,1
"1963-09-21",1963,"Karlsruher SC","Borussia Dortmund","1-3",1,3,1
"1963-09-21",1963,"TSV 1860 Munchen","1. FC Kaiserslautern","3-0",3,0,1
"1963-09-21",1963,"Frankfurter SG Eintracht","Eintracht Braunschweig","3-0",3,0,1
"1963-09-21",1963,"Preussen Munster","VfB Stuttgart","4-2",4,2,1
"1963-09-21",1963,"Werder Bremen","Meidericher SV","1-1",1,1,1
"1963-10-05",1963,"1. FC Koln","Werder Bremen","4-3",4,3,1
"1963-10-05",1963,"1. FC Kaiserslautern","Preussen Munster","0-0",0,0,1
"1963-10-05",1963,"Meidericher SV","TSV 1860 Munchen","3-0",3,0,1
"1963-10-05",1963,"VfB Stuttgart","1. FC Saarbrucken","3-1",3,1,1
"1963-10-05",1963,"1. FC Nurnberg","Karlsruher SC","2-4",2,4,1
"1963-10-05",1963,"Hamburger SV","Hertha BSC","5-1",5,1,1
"1963-10-05",1963,"Eintracht Braunschweig","FC Schalke 04","4-3",4,3,1
"1963-10-05",1963,"Borussia Dortmund","Frankfurter SG Eintracht","3-0",3,0,1
"1963-10-12",1963,"Frankfurter SG Eintracht","1. FC Koln","2-1",2,1,1
"1963-10-12",1963,"Hertha BSC","Eintracht Braunschweig","1-2",1,2,1
"1963-10-12",1963,"TSV 1860 Munchen","1. FC Nurnberg","5-0",5,0,1
"1963-10-12",1963,"Karlsruher SC","VfB Stuttgart","0-3",0,3,1
"1963-10-12",1963,"FC Schalke 04","Meidericher SV","2-2",2,2,1
"1963-10-12",1963,"1. FC Saarbrucken","1. FC Kaiserslautern","2-4",2,4,1
"1963-10-12",1963,"Werder Bremen","Hamburger SV","4-2",4,2,1
"1963-10-12",1963,"Preussen Munster","Borussia Dortmund","1-2",1,2,1
"1963-10-19",1963,"Hamburger SV","TSV 1860 Munchen","5-0",5,0,1
"1963-10-19",1963,"1. FC Koln","Preussen Munster","3-0",3,0,1
"1963-10-19",1963,"1. FC Nurnberg","FC Schalke 04","0-2",0,2,1
"1963-10-19",1963,"VfB Stuttgart","Frankfurter SG Eintracht","0-0",0,0,1
"1963-10-19",1963,"Meidericher SV","1. FC Saarbrucken","3-1",3,1,1
"1963-10-19",1963,"1. FC Kaiserslautern","Karlsruher SC","1-0",1,0,1
"1963-10-19",1963,"Eintracht Braunschweig","Werder Bremen","1-1",1,1,1
"1963-10-19",1963,"Borussia Dortmund","Hertha BSC","7-2",7,2,1
"1963-10-26",1963,"VfB Stuttgart","Borussia Dortmund","2-1",2,1,1
"1963-10-26",1963,"FC Schalke 04","Werder Bremen","2-3",2,3,1
"1963-10-26",1963,"Hamburger SV","Eintracht Braunschweig","2-1",2,1,1
"1963-10-26",1963,"1. FC Koln","Meidericher SV","3-3",3,3,1
"1963-10-26",1963,"1. FC Nurnberg","1. FC Kaiserslautern","0-5",0,5,1
"1963-10-26",1963,"Preussen Munster","TSV 1860 Munchen","0-0",0,0,1
"1963-10-26",1963,"Hertha BSC","Frankfurter SG Eintracht","1-3",1,3,1
"1963-10-26",1963,"1. FC Saarbrucken","Karlsruher SC","1-3",1,3,1
"1963-11-08",1963,"Eintracht Braunschweig","1. FC Koln","1-1",1,1,1
"1963-11-09",1963,"1. FC Kaiserslautern","VfB Stuttgart","1-3",1,3,1
"1963-11-09",1963,"Meidericher SV","Hamburger SV","4-0",4,0,1
"1963-11-09",1963,"Frankfurter SG Eintracht","FC Schalke 04","4-2",4,2,1
"1963-11-09",1963,"TSV 1860 Munchen","1. FC Saarbrucken","7-1",7,1,1
"1963-11-09",1963,"Karlsruher SC","Preussen Munster","4-2",4,2,1
"1963-11-09",1963,"Werder Bremen","Hertha BSC","2-2",2,2,1
