team,full_name,lat,lon,highest_div,col1,col2,founded,dissolved,ground,short_name,three_letter_name,nicknames
Arminia Bielefeld,Deutscher Sport-Club Arminia Bielefeld,NA,NA,1,NA,NA,1905,NA,Schüco-Arena,Arminia,NA,"Die Arminen, Die Blauen"
FC Augsburg,Fußball-Club Augsburg 1907 e. V.,NA,NA,1,NA,NA,1907,NA,WWK Arena,Augsburg,NA,Fuggerstädter
Bayer Leverkusen,Bayer 04 Leverkusen Fußball GmbH,NA,NA,1,NA,NA,1904,NA,BayArena,Leverkusen,NA,Die Werkself
Bayern Munich,Fußball-Club Bayern München e. V.,NA,NA,1,NA,NA,1900,NA,Allianz Arena,Bayern,NA,"Der FCB, Die Bayern, Stern des Südens, Die Roten, FC Hollywood"
Borussia Dortmund,Ballspielverein Borussia 09 e.V. Dortmund,NA,NA,1,NA,NA,1909,NA,Westfalenstadion,Dortmund,NA,"BVB, Die Borussen, Die Schwarzgelben"
Borussia Mönchengladbach,Borussia Verein für Leibesübungen 1900 e.V. Mönchengladbach,NA,NA,1,NA,NA,1900,NA,Stadion im Borussia-Park,Gladbach,NA,"Die Fohlen, Die Borussen"
Eintracht Frankfurt,Eintracht Frankfurt e.V.,NA,NA,1,NA,NA,1899,NA,Waldstadion,Frankfurt,NA,"SGE, Die Adler, Launische Diva"
SC Freiburg,Sport-Club Freiburg e.V.,NA,NA,1,NA,NA,1904,NA,Schwarzwald-Stadion,Freiburg,NA,Breisgau-Brasilianer
Hertha BSC,"Hertha, Berliner Sport-Club e.V.",NA,NA,1,NA,NA,1892,NA,Olympiastadion,Hertha,NA,Die Alte Dame
1899 Hoffenheim,Turn-und Sportgemeinschaft 1899 Hoffenheim e.V.,NA,NA,1,NA,NA,1899,NA,Wirsol Rhein-Neckar-Arena ,Hoffenheim,NA,Die Kraichgauer
1. FC Köln ,1. Fußball-Club Köln 01/07 e. V.,NA,NA,1,NA,NA,1948,NA,RheinEnergieStadion ,NA,NA,"Die Geißböcke, Effzeh"
RB Leipzig,RasenBallsport Leipzig e.V.,NA,NA,1,NA,NA,2009,NA,Red Bull Arena ,NA,NA,Die Roten Bullen
1. Mainz 05,1. Fußball- und Sport-Verein Mainz 05 e.V.,NA,NA,1,NA,NA,1905,NA,Opel Arena,Mainz,NA,"Die Nullfünfer, Karnevalsverein"
FC Schalke 04,Fußballclub Gelsenkirchen-Schalke 04 e.V.,NA,NA,1,NA,NA,1904,NA,Arena AufSchalke,Schalke,NA,"Die Königsblauen, Die Knappen"
