"Date","Season","home","visitor","FT","hgoal","vgoal","division","tier","totgoal","goaldif","result"
1994-09-24,1994,"AEK","Athinaikos","0-0",0,0,"G1",1,0,0,"D"
1994-09-24,1994,"Apollon","Panathinaikos","2-3",2,3,"G1",1,5,-1,"A"
1994-09-24,1994,"Doxa","Olympiakos","0-1",0,1,"G1",1,1,-1,"A"
1994-09-24,1994,"Edessaikos","Levadiakos","1-0",1,0,"G1",1,1,1,"H"
1994-09-24,1994,"Ethnikos","OFI","1-1",1,1,"G1",1,2,0,"D"
1994-09-24,1994,"Iraklis","Ionikos","6-1",6,1,"G1",1,7,5,"H"
1994-09-24,1994,"Larisa","Aris","0-0",0,0,"G1",1,0,0,"D"
1994-09-24,1994,"PAOK","Kavala","4-0",4,0,"G1",1,4,4,"H"
1994-09-24,1994,"Xanthi","Panionios","4-1",4,1,"G1",1,5,3,"H"
1994-10-01,1994,"Aris","Doxa","3-1",3,1,"G1",1,4,2,"H"
1994-10-01,1994,"Athinaikos","Ethnikos","1-1",1,1,"G1",1,2,0,"D"
1994-10-01,1994,"Ionikos","Levadiakos","2-0",2,0,"G1",1,2,2,"H"
1994-10-01,1994,"Kavala","AEK","0-0",0,0,"G1",1,0,0,"D"
1994-10-01,1994,"OFI","Iraklis","2-1",2,1,"G1",1,3,1,"H"
1994-10-01,1994,"Olympiakos","Apollon","3-1",3,1,"G1",1,4,2,"H"
1994-10-01,1994,"Panathinaikos","Edessaikos","4-1",4,1,"G1",1,5,3,"H"
1994-10-01,1994,"Panionios","Larisa","2-1",2,1,"G1",1,3,1,"H"
1994-10-01,1994,"PAOK","Xanthi","2-0",2,0,"G1",1,2,2,"H"
1994-10-08,1994,"AEK","PAOK","4-3",4,3,"G1",1,7,1,"H"
1994-10-08,1994,"Apollon","Aris","2-0",2,0,"G1",1,2,2,"H"
1994-10-08,1994,"Doxa","Panionios","1-1",1,1,"G1",1,2,0,"D"
1994-10-08,1994,"Edessaikos","Olympiakos","1-1",1,1,"G1",1,2,0,"D"
1994-10-08,1994,"Ethnikos","Kavala","4-0",4,0,"G1",1,4,4,"H"
1994-10-08,1994,"Ionikos","Panathinaikos","2-5",2,5,"G1",1,7,-3,"A"
1994-10-08,1994,"Iraklis","Athinaikos","2-0",2,0,"G1",1,2,2,"H"
1994-10-08,1994,"Levadiakos","OFI","1-3",1,3,"G1",1,4,-2,"A"
1994-10-08,1994,"Xanthi","Larisa","2-3",2,3,"G1",1,5,-1,"A"
1994-10-15,1994,"AEK","Xanthi","1-1",1,1,"G1",1,2,0,"D"
1994-10-15,1994,"Aris","Edessaikos","4-0",4,0,"G1",1,4,4,"H"
1994-10-15,1994,"Athinaikos","Levadiakos","2-0",2,0,"G1",1,2,2,"H"
1994-10-15,1994,"Kavala","Iraklis","0-1",0,1,"G1",1,1,-1,"A"
1994-10-15,1994,"Larisa","Doxa","3-1",3,1,"G1",1,4,2,"H"
1994-10-15,1994,"OFI","Panathinaikos","0-2",0,2,"G1",1,2,-2,"A"
1994-10-15,1994,"Olympiakos","Ionikos","6-1",6,1,"G1",1,7,5,"H"
1994-10-15,1994,"Panionios","Apollon","0-0",0,0,"G1",1,0,0,"D"
1994-10-15,1994,"PAOK","Ethnikos","4-0",4,0,"G1",1,4,4,"H"
1994-10-22,1994,"Apollon","Larisa","2-1",2,1,"G1",1,3,1,"H"
1994-10-22,1994,"Edessaikos","Panionios","0-0",0,0,"G1",1,0,0,"D"
1994-10-22,1994,"Ethnikos","AEK","0-2",0,2,"G1",1,2,-2,"A"
1994-10-22,1994,"Ionikos","Aris","2-0",2,0,"G1",1,2,2,"H"
1994-10-22,1994,"Iraklis","PAOK","1-2",1,2,"G1",1,3,-1,"A"
1994-10-22,1994,"Levadiakos","Kavala","2-1",2,1,"G1",1,3,1,"H"
1994-10-22,1994,"OFI","Olympiakos","1-0",1,0,"G1",1,1,1,"H"
1994-10-22,1994,"Panathinaikos","Athinaikos","1-0",1,0,"G1",1,1,1,"H"
1994-10-22,1994,"Xanthi","Doxa","5-1",5,1,"G1",1,6,4,"H"
1994-10-29,1994,"AEK","Iraklis","4-1",4,1,"G1",1,5,3,"H"
1994-10-29,1994,"Aris","OFI","0-1",0,1,"G1",1,1,-1,"A"
1994-10-29,1994,"Athinaikos","Olympiakos","1-0",1,0,"G1",1,1,1,"H"
1994-10-29,1994,"Doxa","Apollon","2-1",2,1,"G1",1,3,1,"H"
1994-10-29,1994,"Ethnikos","Xanthi","0-0",0,0,"G1",1,0,0,"D"
1994-10-29,1994,"Kavala","Panathinaikos","1-5",1,5,"G1",1,6,-4,"A"
1994-10-29,1994,"Larisa","Edessaikos","0-1",0,1,"G1",1,1,-1,"A"
1994-10-29,1994,"Panionios","Ionikos","4-2",4,2,"G1",1,6,2,"H"
1994-10-29,1994,"PAOK","Levadiakos","0-0",0,0,"G1",1,0,0,"D"
1994-11-05,1994,"Athinaikos","Aris","0-1",0,1,"G1",1,1,-1,"A"
1994-11-05,1994,"Edessaikos","Doxa","5-1",5,1,"G1",1,6,4,"H"
1994-11-05,1994,"Ionikos","Larisa","0-0",0,0,"G1",1,0,0,"D"
1994-11-05,1994,"Iraklis","Ethnikos","4-0",4,0,"G1",1,4,4,"H"
1994-11-05,1994,"Levadiakos","AEK","2-1",2,1,"G1",1,3,1,"H"
1994-11-05,1994,"OFI","Panionios","2-0",2,0,"G1",1,2,2,"H"
1994-11-05,1994,"Olympiakos","Kavala","7-1",7,1,"G1",1,8,6,"H"
1994-11-05,1994,"Panathinaikos","PAOK","3-0",3,0,"G1",1,3,3,"H"
1994-11-05,1994,"Xanthi","Apollon","2-2",2,2,"G1",1,4,0,"D"
1994-11-12,1994,"AEK","Panathinaikos","0-1",0,1,"G1",1,1,-1,"A"
1994-11-12,1994,"Apollon","Edessaikos","3-1",3,1,"G1",1,4,2,"H"
1994-11-12,1994,"Doxa","Ionikos","0-0",0,0,"G1",1,0,0,"D"
1994-11-12,1994,"Ethnikos","Levadiakos","1-1",1,1,"G1",1,2,0,"D"
1994-11-12,1994,"Iraklis","Xanthi","3-2",3,2,"G1",1,5,1,"H"
1994-11-12,1994,"Kavala","Aris","0-2",0,2,"G1",1,2,-2,"A"
1994-11-12,1994,"Larisa","OFI","1-1",1,1,"G1",1,2,0,"D"
1994-11-12,1994,"Panionios","Athinaikos","0-0",0,0,"G1",1,0,0,"D"
1994-11-12,1994,"PAOK","Olympiakos","3-0",3,0,"G1",1,3,3,"H"
1994-11-19,1994,"Olympiakos","AEK","0-1",0,1,"G1",1,1,-1,"A"
1994-11-20,1994,"Athinaikos","Larisa","0-0",0,0,"G1",1,0,0,"D"
1994-11-20,1994,"Ionikos","Apollon","0-3",0,3,"G1",1,3,-3,"A"
1994-11-20,1994,"Kavala","Panionios","1-0",1,0,"G1",1,1,1,"H"
1994-11-20,1994,"Levadiakos","Iraklis","1-2",1,2,"G1",1,3,-1,"A"
1994-11-20,1994,"OFI","Doxa","5-0",5,0,"G1",1,5,5,"H"
1994-11-20,1994,"Panathinaikos","Ethnikos","3-0",3,0,"G1",1,3,3,"H"
1994-11-20,1994,"Xanthi","Edessaikos","1-0",1,0,"G1",1,1,1,"H"
1994-11-27,1994,"AEK","Aris","3-1",3,1,"G1",1,4,2,"H"
1994-11-27,1994,"Apollon","OFI","1-2",1,2,"G1",1,3,-1,"A"
1994-11-27,1994,"Doxa","Athinaikos","1-0",1,0,"G1",1,1,1,"H"
1994-11-27,1994,"Edessaikos","Ionikos","2-0",2,0,"G1",1,2,2,"H"
1994-11-27,1994,"Ethnikos","Olympiakos","0-1",0,1,"G1",1,1,-1,"A"
1994-11-27,1994,"Iraklis","Panathinaikos","0-0",0,0,"G1",1,0,0,"D"
1994-11-27,1994,"Larisa","Kavala","1-0",1,0,"G1",1,1,1,"H"
1994-11-27,1994,"Levadiakos","Xanthi","0-0",0,0,"G1",1,0,0,"D"
1994-11-27,1994,"Panionios","PAOK","3-1",3,1,"G1",1,4,2,"H"
1994-12-04,1994,"Aris","Ethnikos","0-0",0,0,"G1",1,0,0,"D"
1994-12-04,1994,"Athinaikos","Apollon","0-1",0,1,"G1",1,1,-1,"A"
1994-12-04,1994,"Kavala","Doxa","1-1",1,1,"G1",1,2,0,"D"
1994-12-04,1994,"OFI","Edessaikos","1-0",1,0,"G1",1,1,1,"H"
1994-12-04,1994,"Olympiakos","Iraklis","0-0",0,0,"G1",1,0,0,"D"
1994-12-04,1994,"Panathinaikos","Levadiakos","5-0",5,0,"G1",1,5,5,"H"
1994-12-04,1994,"Panionios","AEK","2-3",2,3,"G1",1,5,-1,"A"
1994-12-04,1994,"PAOK","Larisa","5-0",5,0,"G1",1,5,5,"H"
1994-12-04,1994,"Xanthi","Ionikos","1-0",1,0,"G1",1,1,1,"H"
1994-12-10,1994,"Levadiakos","Olympiakos","0-2",0,2,"G1",1,2,-2,"A"
1994-12-11,1994,"Apollon","Kavala","2-0",2,0,"G1",1,2,2,"H"
1994-12-11,1994,"Doxa","PAOK","0-0",0,0,"G1",1,0,0,"D"
1994-12-11,1994,"Edessaikos","Athinaikos","1-0",1,0,"G1",1,1,1,"H"
1994-12-11,1994,"Ethnikos","Panionios","1-1",1,1,"G1",1,2,0,"D"
1994-12-11,1994,"Ionikos","OFI","1-0",1,0,"G1",1,1,1,"H"
1994-12-11,1994,"Iraklis","Aris","3-1",3,1,"G1",1,4,2,"H"
1994-12-11,1994,"Larisa","AEK","0-0",0,0,"G1",1,0,0,"D"
1994-12-11,1994,"Panathinaikos","Xanthi","3-1",3,1,"G1",1,4,2,"H"
1994-12-27,1994,"AEK","Doxa","5-1",5,1,"G1",1,6,4,"H"
1994-12-28,1994,"Aris","Levadiakos","2-1",2,1,"G1",1,3,1,"H"
1994-12-28,1994,"Athinaikos","Ionikos","1-0",1,0,"G1",1,1,1,"H"
1994-12-28,1994,"Kavala","Edessaikos","1-0",1,0,"G1",1,1,1,"H"
1994-12-28,1994,"Larisa","Ethnikos","2-1",2,1,"G1",1,3,1,"H"
1994-12-28,1994,"Olympiakos","Panathinaikos","1-1",1,1,"G1",1,2,0,"D"
1994-12-28,1994,"Panionios","Iraklis","2-1",2,1,"G1",1,3,1,"H"
1994-12-28,1994,"PAOK","Apollon","1-1",1,1,"G1",1,2,0,"D"
1994-12-28,1994,"Xanthi","OFI","1-1",1,1,"G1",1,2,0,"D"
1995-01-07,1994,"Apollon","AEK","1-2",1,2,"G1",1,3,-1,"A"
1995-01-08,1994,"Doxa","Ethnikos","2-0",2,0,"G1",1,2,2,"H"
1995-01-08,1994,"Edessaikos","PAOK","2-0",2,0,"G1",1,2,2,"H"
1995-01-08,1994,"Ionikos","Kavala","2-1",2,1,"G1",1,3,1,"H"
1995-01-08,1994,"Iraklis","Larisa","1-0",1,0,"G1",1,1,1,"H"
