"Date","Season","home","visitor","hgoal","vgoal","FT","hconf","vconf","totgoals","round"
1997-03-22,1997,"San Jose Earthquakes","New York Red Bulls",1,0,"1-0","West","East",1,"regular"
1997-03-29,1997,"LA Galaxy","DC United",0,1,"0-1","West","East",1,"regular"
1997-03-29,1997,"Columbus Crew","Colorado Rapids",2,1,"2-1","East","West",3,"regular"
1997-03-29,1997,"Sporting Kansas City","San Jose Earthquakes",3,2,"3-2","West","West",5,"regular"
1997-03-29,1997,"FC Dallas","New England Revolution",0,1,"0-1","West","East",1,"regular"
1997-03-29,1997,"Tampa Bay Mutiny","New York Red Bulls",2,1,"2-1","East","East",3,"regular"
1997-04-05,1997,"DC United","New York Red Bulls",2,1,"2-1","East","East",3,"regular"
1997-04-05,1997,"Sporting Kansas City","LA Galaxy",3,2,"3-2","West","West",5,"regular"
1997-04-05,1997,"FC Dallas","San Jose Earthquakes",2,1,"2-1","West","West",3,"regular"
1997-04-06,1997,"Colorado Rapids","Columbus Crew",2,0,"2-0","West","East",2,"regular"
1997-04-06,1997,"Tampa Bay Mutiny","New England Revolution",4,0,"4-0","East","East",4,"regular"
1997-04-12,1997,"Tampa Bay Mutiny","Sporting Kansas City",2,1,"2-1","East","West",3,"regular"
1997-04-12,1997,"New York Red Bulls","New England Revolution",3,1,"3-1","East","East",4,"regular"
1997-04-12,1997,"Colorado Rapids","DC United",2,5,"2-5","West","East",7,"regular"
1997-04-12,1997,"San Jose Earthquakes","LA Galaxy",4,1,"4-1","West","West",5,"regular"
1997-04-13,1997,"Columbus Crew","FC Dallas",2,1,"2-1","East","West",3,"regular"
1997-04-18,1997,"LA Galaxy","Colorado Rapids",2,1,"2-1","West","West",3,"regular"
1997-04-18,1997,"Sporting Kansas City","FC Dallas",2,1,"2-1","West","West",3,"regular"
1997-04-19,1997,"New York Red Bulls","DC United",1,2,"1-2","East","East",3,"regular"
1997-04-19,1997,"Columbus Crew","San Jose Earthquakes",2,1,"2-1","East","West",3,"regular"
1997-04-20,1997,"FC Dallas","Colorado Rapids",4,1,"4-1","West","West",5,"regular"
1997-04-20,1997,"New England Revolution","Tampa Bay Mutiny",2,1,"2-1","East","East",3,"regular"
1997-04-23,1997,"Colorado Rapids","FC Dallas",1,0,"1-0","West","West",1,"regular"
1997-04-26,1997,"LA Galaxy","FC Dallas",1,2,"1-2","West","West",3,"regular"
1997-04-26,1997,"New York Red Bulls","Columbus Crew",2,1,"2-1","East","East",3,"regular"
1997-04-26,1997,"New England Revolution","Colorado Rapids",2,1,"2-1","East","West",3,"regular"
1997-04-26,1997,"DC United","San Jose Earthquakes",2,3,"2-3","East","West",5,"regular"
1997-04-27,1997,"Sporting Kansas City","Tampa Bay Mutiny",2,3,"2-3","West","East",5,"regular"
1997-05-02,1997,"DC United","LA Galaxy",2,0,"2-0","East","West",2,"regular"
1997-05-03,1997,"New England Revolution","Sporting Kansas City",2,1,"2-1","East","West",3,"regular"
1997-05-03,1997,"San Jose Earthquakes","Columbus Crew",1,3,"1-3","West","East",4,"regular"
1997-05-03,1997,"Colorado Rapids","Tampa Bay Mutiny",2,0,"2-0","West","East",2,"regular"
1997-05-04,1997,"New York Red Bulls","LA Galaxy",1,0,"1-0","East","West",1,"regular"
1997-05-04,1997,"FC Dallas","DC United",3,2,"3-2","West","East",5,"regular"
1997-05-09,1997,"New England Revolution","Columbus Crew",0,2,"0-2","East","East",2,"regular"
1997-05-09,1997,"New York Red Bulls","San Jose Earthquakes",0,1,"0-1","East","West",1,"regular"
1997-05-10,1997,"DC United","FC Dallas",2,3,"2-3","East","West",5,"regular"
1997-05-10,1997,"Tampa Bay Mutiny","Colorado Rapids",2,1,"2-1","East","West",3,"regular"
1997-05-10,1997,"Sporting Kansas City","LA Galaxy",1,0,"1-0","West","West",1,"regular"
1997-05-11,1997,"Columbus Crew","New York Red Bulls",3,0,"3-0","East","East",3,"regular"
1997-05-16,1997,"San Jose Earthquakes","New England Revolution",1,2,"1-2","West","East",3,"regular"
1997-05-17,1997,"FC Dallas","Tampa Bay Mutiny",2,0,"2-0","West","East",2,"regular"
1997-05-17,1997,"Colorado Rapids","Columbus Crew",2,1,"2-1","West","East",3,"regular"
1997-05-18,1997,"New England Revolution","DC United",0,1,"0-1","East","East",1,"regular"
1997-05-18,1997,"New York Red Bulls","Sporting Kansas City",1,0,"1-0","East","West",1,"regular"
1997-05-18,1997,"LA Galaxy","San Jose Earthquakes",2,1,"2-1","West","West",3,"regular"
1997-05-22,1997,"DC United","San Jose Earthquakes",3,1,"3-1","East","West",4,"regular"
1997-05-22,1997,"Sporting Kansas City","Columbus Crew",3,1,"3-1","West","East",4,"regular"
1997-05-23,1997,"Tampa Bay Mutiny","FC Dallas",1,3,"1-3","East","West",4,"regular"
1997-05-24,1997,"Colorado Rapids","New England Revolution",1,2,"1-2","West","East",3,"regular"
1997-05-25,1997,"LA Galaxy","Columbus Crew",1,0,"1-0","West","East",1,"regular"
1997-05-25,1997,"New York Red Bulls","Tampa Bay Mutiny",3,2,"3-2","East","East",5,"regular"
1997-05-29,1997,"Columbus Crew","DC United",2,3,"2-3","East","East",5,"regular"
1997-05-30,1997,"New England Revolution","New York Red Bulls",3,1,"3-1","East","East",4,"regular"
1997-05-30,1997,"LA Galaxy","Sporting Kansas City",1,3,"1-3","West","West",4,"regular"
1997-06-01,1997,"New England Revolution","FC Dallas",3,1,"3-1","East","West",4,"regular"
1997-06-01,1997,"San Jose Earthquakes","DC United",2,3,"2-3","West","East",5,"regular"
1997-06-01,1997,"Colorado Rapids","Tampa Bay Mutiny",2,0,"2-0","West","East",2,"regular"
1997-06-06,1997,"FC Dallas","Sporting Kansas City",1,2,"1-2","West","West",3,"regular"
1997-06-07,1997,"DC United","Colorado Rapids",5,0,"5-0","East","West",5,"regular"
1997-06-07,1997,"Tampa Bay Mutiny","Columbus Crew",3,1,"3-1","East","East",4,"regular"
1997-06-08,1997,"New England Revolution","LA Galaxy",1,0,"1-0","East","West",1,"regular"
1997-06-08,1997,"San Jose Earthquakes","Sporting Kansas City",2,3,"2-3","West","West",5,"regular"
1997-06-13,1997,"New York Red Bulls","Colorado Rapids",1,3,"1-3","East","West",4,"regular"
1997-06-14,1997,"New England Revolution","DC United",0,1,"0-1","East","East",1,"regular"
1997-06-15,1997,"Columbus Crew","Colorado Rapids",0,2,"0-2","East","West",2,"regular"
1997-06-15,1997,"Sporting Kansas City","San Jose Earthquakes",1,3,"1-3","West","West",4,"regular"
1997-06-15,1997,"FC Dallas","New York Red Bulls",3,1,"3-1","West","East",4,"regular"
1997-06-15,1997,"LA Galaxy","Tampa Bay Mutiny",4,1,"4-1","West","East",5,"regular"
1997-06-21,1997,"Tampa Bay Mutiny","San Jose Earthquakes",3,1,"3-1","East","West",4,"regular"
1997-06-21,1997,"Columbus Crew","New York Red Bulls",2,1,"2-1","East","East",3,"regular"
1997-06-21,1997,"Sporting Kansas City","DC United",6,1,"6-1","West","East",7,"regular"
1997-06-21,1997,"Colorado Rapids","LA Galaxy",2,1,"2-1","West","West",3,"regular"
1997-06-22,1997,"New England Revolution","FC Dallas",3,2,"3-2","East","West",5,"regular"
1997-06-25,1997,"Sporting Kansas City","Tampa Bay Mutiny",3,2,"3-2","West","East",5,"regular"
1997-06-28,1997,"Tampa Bay Mutiny","LA Galaxy",3,2,"3-2","East","West",5,"regular"
1997-06-28,1997,"Colorado Rapids","Sporting Kansas City",3,4,"3-4","West","West",7,"regular"
1997-06-28,1997,"San Jose Earthquakes","FC Dallas",3,1,"3-1","West","West",4,"regular"
1997-07-04,1997,"Tampa Bay Mutiny","New York Red Bulls",1,0,"1-0","East","East",1,"regular"
1997-07-04,1997,"Columbus Crew","Sporting Kansas City",1,2,"1-2","East","West",3,"regular"
1997-07-04,1997,"FC Dallas","DC United",2,3,"2-3","West","East",5,"regular"
1997-07-04,1997,"Colorado Rapids","San Jose Earthquakes",3,1,"3-1","West","West",4,"regular"
1997-07-04,1997,"LA Galaxy","New England Revolution",2,0,"2-0","West","East",2,"regular"
1997-07-06,1997,"DC United","Tampa Bay Mutiny",3,2,"3-2","East","East",5,"regular"
1997-07-06,1997,"Sporting Kansas City","FC Dallas",1,3,"1-3","West","West",4,"regular"
1997-07-06,1997,"San Jose Earthquakes","New England Revolution",3,2,"3-2","West","East",5,"regular"
1997-07-12,1997,"New England Revolution","Sporting Kansas City",2,0,"2-0","East","West",2,"regular"
1997-07-12,1997,"LA Galaxy","DC United",3,1,"3-1","West","East",4,"regular"
1997-07-13,1997,"Columbus Crew","FC Dallas",1,2,"1-2","East","West",3,"regular"
1997-07-13,1997,"New York Red Bulls","Colorado Rapids",4,1,"4-1","East","West",5,"regular"
1997-07-13,1997,"San Jose Earthquakes","Tampa Bay Mutiny",2,3,"2-3","West","East",5,"regular"
1997-07-18,1997,"New England Revolution","Tampa Bay Mutiny",4,2,"4-2","East","East",6,"regular"
1997-07-18,1997,"FC Dallas","San Jose Earthquakes",3,1,"3-1","West","West",4,"regular"
1997-07-19,1997,"Sporting Kansas City","DC United",3,2,"3-2","West","East",5,"regular"
1997-07-20,1997,"New York Red Bulls","LA Galaxy",0,4,"0-4","East","West",4,"regular"
1997-07-20,1997,"Columbus Crew","New England Revolution",1,0,"1-0","East","East",1,"regular"
1997-07-20,1997,"Tampa Bay Mutiny","San Jose Earthquakes",3,1,"3-1","East","West",4,"regular"
1997-07-20,1997,"Colorado Rapids","FC Dallas",2,4,"2-4","West","West",6,"regular"
1997-07-25,1997,"DC United","Columbus Crew",2,1,"2-1","East","East",3,"regular"
1997-07-25,1997,"FC Dallas","LA Galaxy",0,3,"0-3","West","West",3,"regular"
1997-07-25,1997,"San Jose Earthquakes","Colorado Rapids",1,2,"1-2","West","West",3,"regular"
1997-07-26,1997,"Sporting Kansas City","New England Revolution",1,0,"1-0","West","East",1,"regular"
1997-07-27,1997,"Columbus Crew","Tampa Bay Mutiny",0,1,"0-1","East","East",1,"regular"
1997-07-27,1997,"New York Red Bulls","DC United",2,1,"2-1","East","East",3,"regular"
1997-07-27,1997,"Colorado Rapids","LA Galaxy",1,2,"1-2","West","West",3,"regular"
1997-07-30,1997,"DC United","Columbus Crew",4,2,"4-2","East","East",6,"regular"
1997-08-02,1997,"DC United","Colorado Rapids",2,3,"2-3","East","West",5,"regular"
1997-08-02,1997,"FC Dallas","Sporting Kansas City",1,2,"1-2","West","West",3,"regular"
1997-08-02,1997,"LA Galaxy","Columbus Crew",1,2,"1-2","West","East",3,"regular"
1997-08-03,1997,"New England Revolution","San Jose Earthquakes",1,5,"1-5","East","West",6,"regular"
1997-08-03,1997,"New York Red Bulls","Tampa Bay Mutiny",2,3,"2-3","East","East",5,"regular"
1997-08-09,1997,"DC United","LA Galaxy",4,2,"4-2","East","West",6,"regular"
1997-08-09,1997,"Tampa Bay Mutiny","Sporting Kansas City",0,2,"0-2","East","West",2,"regular"
1997-08-09,1997,"Colorado Rapids","New England Revolution",3,0,"3-0","West","East",3,"regular"
1997-08-09,1997,"San Jose Earthquakes","Columbus Crew",2,1,"2-1","West","East",3,"regular"
1997-08-14,1997,"New England Revolution","LA Galaxy",1,2,"1-2","East","West",3,"regular"
1997-08-15,1997,"Tampa Bay Mutiny","FC Dallas",2,1,"2-1","East","West",3,"regular"
1997-08-15,1997,"Colorado Rapids","New York Red Bulls",2,0,"2-0","West","East",2,"regular"
1997-08-16,1997,"Columbus Crew","DC United",2,0,"2-0","East","East",2,"regular"
1997-08-17,1997,"Sporting Kansas City","New York Red Bulls",4,3,"4-3","West","East",7,"regular"
1997-08-17,1997,"LA Galaxy","San Jose Earthquakes",2,3,"2-3","West","West",5,"regular"
1997-08-23,1997,"Columbus Crew","New England Revolution",2,1,"2-1","East","East",3,"regular"
1997-08-23,1997,"FC Dallas","New York Red Bulls",1,2,"1-2","West","East",3,"regular"
1997-08-24,1997,"San Jose Earthquakes","Sporting Kansas City",2,3,"2-3","West","West",5,"regular"
1997-08-27,1997,"DC United","New England Revolution",3,2,"3-2","East","East",5,"regular"
1997-08-28,1997,"Sporting Kansas City","Colorado Rapids",1,0,"1-0","West","West",1,"regular"
1997-08-29,1997,"New York Red Bulls","San Jose Earthquakes",3,0,"3-0","East","West",3,"regular"
1997-08-30,1997,"Columbus Crew","LA Galaxy",2,0,"2-0","East","West",2,"regular"
1997-08-30,1997,"Tampa Bay Mutiny","New England Revolution",4,0,"4-0","East","East",4,"regular"
1997-08-31,1997,"DC United","Sporting Kansas City",2,0,"2-0","East","West",2,"regular"
1997-08-31,1997,"FC Dallas","Colorado Rapids",4,1,"4-1","West","West",5,"regular"
1997-09-04,1997,"LA Galaxy","New York Red Bulls",1,3,"1-3","West","East",4,"regular"
1997-09-06,1997,"FC Dallas","Columbus Crew",3,0,"3-0","West","East",3,"regular"
