"","Date","Season","home","visitor","FT","hgoal","vgoal","division","tier","totgoal","goaldif","result"
"1",1994-08-13,1994,"Aberdeen","Hearts","3-1",3,1,"SC0",1,4,2,"H"
"2",1994-08-13,1994,"Falkirk","Celtic","1-1",1,1,"SC0",1,2,0,"D"
"3",1994-08-13,1994,"Hibernian","Dundee United","5-0",5,0,"SC0",1,5,5,"H"
"4",1994-08-13,1994,"Partick","Kilmarnock","2-0",2,0,"SC0",1,2,2,"H"
"5",1994-08-13,1994,"Rangers","Motherwell","2-1",2,1,"SC0",1,3,1,"H"
"6",1994-08-20,1994,"Aberdeen","Falkirk","2-2",2,2,"SC0",1,4,0,"D"
"7",1994-08-20,1994,"Celtic","Dundee United","2-1",2,1,"SC0",1,3,1,"H"
"8",1994-08-20,1994,"Hibernian","Kilmarnock","0-0",0,0,"SC0",1,0,0,"D"
"9",1994-08-20,1994,"Motherwell","Hearts","1-1",1,1,"SC0",1,2,0,"D"
"10",1994-08-20,1994,"Partick","Rangers","0-2",0,2,"SC0",1,2,-2,"A"
"11",1994-08-28,1994,"Dundee United","Aberdeen","2-1",2,1,"SC0",1,3,1,"H"
"12",1994-08-28,1994,"Falkirk","Partick","2-1",2,1,"SC0",1,3,1,"H"
"13",1994-08-28,1994,"Hearts","Hibernian","0-1",0,1,"SC0",1,1,-1,"A"
"14",1994-08-28,1994,"Kilmarnock","Motherwell","0-1",0,1,"SC0",1,1,-1,"A"
"15",1994-08-28,1994,"Rangers","Celtic","0-2",0,2,"SC0",1,2,-2,"A"
"16",1994-09-10,1994,"Dundee United","Motherwell","1-1",1,1,"SC0",1,2,0,"D"
"17",1994-09-10,1994,"Hibernian","Aberdeen","2-2",2,2,"SC0",1,4,0,"D"
"18",1994-09-10,1994,"Kilmarnock","Falkirk","1-1",1,1,"SC0",1,2,0,"D"
"19",1994-09-10,1994,"Partick","Celtic","1-2",1,2,"SC0",1,3,-1,"A"
"20",1994-09-11,1994,"Rangers","Hearts","3-0",3,0,"SC0",1,3,3,"H"
"21",1994-09-17,1994,"Aberdeen","Partick","1-1",1,1,"SC0",1,2,0,"D"
"22",1994-09-17,1994,"Celtic","Kilmarnock","1-1",1,1,"SC0",1,2,0,"D"
"23",1994-09-17,1994,"Falkirk","Rangers","0-2",0,2,"SC0",1,2,-2,"A"
"24",1994-09-17,1994,"Hearts","Dundee United","2-1",2,1,"SC0",1,3,1,"H"
"25",1994-09-17,1994,"Motherwell","Hibernian","1-1",1,1,"SC0",1,2,0,"D"
"26",1994-09-24,1994,"Aberdeen","Rangers","2-2",2,2,"SC0",1,4,0,"D"
"27",1994-09-24,1994,"Celtic","Hibernian","2-0",2,0,"SC0",1,2,2,"H"
"28",1994-09-24,1994,"Dundee United","Falkirk","1-0",1,0,"SC0",1,1,1,"H"
"29",1994-09-24,1994,"Hearts","Kilmarnock","3-0",3,0,"SC0",1,3,3,"H"
"30",1994-09-24,1994,"Partick","Motherwell","2-2",2,2,"SC0",1,4,0,"D"
"31",1994-10-01,1994,"Falkirk","Hearts","2-1",2,1,"SC0",1,3,1,"H"
"32",1994-10-01,1994,"Hibernian","Partick","3-0",3,0,"SC0",1,3,3,"H"
"33",1994-10-01,1994,"Kilmarnock","Aberdeen","2-1",2,1,"SC0",1,3,1,"H"
"34",1994-10-01,1994,"Motherwell","Celtic","1-1",1,1,"SC0",1,2,0,"D"
"35",1994-10-01,1994,"Rangers","Dundee United","2-0",2,0,"SC0",1,2,2,"H"
"36",1994-10-08,1994,"Celtic","Aberdeen","0-0",0,0,"SC0",1,0,0,"D"
"37",1994-10-08,1994,"Hibernian","Rangers","2-1",2,1,"SC0",1,3,1,"H"
"38",1994-10-08,1994,"Kilmarnock","Dundee United","0-2",0,2,"SC0",1,2,-2,"A"
"39",1994-10-08,1994,"Motherwell","Falkirk","5-3",5,3,"SC0",1,8,2,"H"
"40",1994-10-08,1994,"Partick","Hearts","0-1",0,1,"SC0",1,1,-1,"A"
"41",1994-10-15,1994,"Aberdeen","Motherwell","1-3",1,3,"SC0",1,4,-2,"A"
"42",1994-10-15,1994,"Dundee United","Partick","0-1",0,1,"SC0",1,1,-1,"A"
"43",1994-10-15,1994,"Falkirk","Hibernian","0-0",0,0,"SC0",1,0,0,"D"
"44",1994-10-15,1994,"Hearts","Celtic","1-0",1,0,"SC0",1,1,1,"H"
"45",1994-10-15,1994,"Rangers","Kilmarnock","2-0",2,0,"SC0",1,2,2,"H"
"46",1994-10-22,1994,"Celtic","Falkirk","0-2",0,2,"SC0",1,2,-2,"A"
"47",1994-10-22,1994,"Dundee United","Hibernian","0-0",0,0,"SC0",1,0,0,"D"
"48",1994-10-22,1994,"Hearts","Aberdeen","2-0",2,0,"SC0",1,2,2,"H"
"49",1994-10-22,1994,"Kilmarnock","Partick","2-0",2,0,"SC0",1,2,2,"H"
"50",1994-10-22,1994,"Motherwell","Rangers","2-1",2,1,"SC0",1,3,1,"H"
"51",1994-10-29,1994,"Aberdeen","Dundee United","3-0",3,0,"SC0",1,3,3,"H"
"52",1994-10-29,1994,"Hibernian","Hearts","2-1",2,1,"SC0",1,3,1,"H"
"53",1994-10-29,1994,"Motherwell","Kilmarnock","3-2",3,2,"SC0",1,5,1,"H"
"54",1994-10-29,1994,"Partick","Falkirk","1-2",1,2,"SC0",1,3,-1,"A"
"55",1994-10-30,1994,"Celtic","Rangers","1-3",1,3,"SC0",1,4,-2,"A"
"56",1994-11-05,1994,"Dundee United","Celtic","2-2",2,2,"SC0",1,4,0,"D"
"57",1994-11-05,1994,"Falkirk","Aberdeen","2-1",2,1,"SC0",1,3,1,"H"
"58",1994-11-05,1994,"Hearts","Motherwell","1-2",1,2,"SC0",1,3,-1,"A"
"59",1994-11-05,1994,"Kilmarnock","Hibernian","0-0",0,0,"SC0",1,0,0,"D"
"60",1994-11-05,1994,"Rangers","Partick","3-0",3,0,"SC0",1,3,3,"H"
"61",1994-11-08,1994,"Falkirk","Kilmarnock","3-3",3,3,"SC0",1,6,0,"D"
"62",1994-11-08,1994,"Motherwell","Dundee United","1-1",1,1,"SC0",1,2,0,"D"
"63",1994-11-09,1994,"Aberdeen","Hibernian","0-0",0,0,"SC0",1,0,0,"D"
