"date","Season","home","visitor","HT","FT","hgoal","vgoal","tier","round","group","notes"
1929-02-10,1928,"Arenas de Getxo","Atlético Madrid","0-2","2-3","2","3",1,"league",NA,NA
1929-02-10,1928,"Espanyol Barcelona","Real Unión","1-0","3-2","3","2",1,"league",NA,NA
1929-02-10,1928,"Real Madrid","CE Europa","0-0","5-0","5","0",1,"league",NA,NA
1929-02-10,1928,"Real Sociedad","Athletic Bilbao","1-1","1-1","1","1",1,"league",NA,NA
1929-02-12,1928,"Racing Santander","FC Barcelona","0-0","0-2","0","2",1,"league",NA,NA
1929-02-17,1928,"FC Barcelona","Real Madrid","0-1","1-2","1","2",1,"league",NA,NA
1929-02-17,1928,"Athletic Bilbao","Espanyol Barcelona","3-0","9-0","9","0",1,"league",NA,NA
1929-02-17,1928,"Atlético Madrid","Real Sociedad","0-3","0-3","0","3",1,"league",NA,NA
1929-02-17,1928,"Real Unión","Racing Santander","0-1","3-1","3","1",1,"league",NA,NA
1929-02-17,1928,"CE Europa","Arenas de Getxo","2-0","5-2","5","2",1,"league",NA,NA
1929-02-24,1928,"Real Sociedad","FC Barcelona","2-0","3-0","3","0",1,"league",NA,NA
1929-02-24,1928,"Espanyol Barcelona","CE Europa","3-0","3-1","3","1",1,"league",NA,NA
1929-02-24,1928,"Arenas de Getxo","Real Unión","1-0","1-1","1","1",1,"league",NA,NA
1929-02-24,1928,"Racing Santander","Athletic Bilbao","0-2","0-4","0","4",1,"league",NA,NA
1929-02-24,1928,"Real Madrid","Atlético Madrid","1-1","2-1","2","1",1,"league",NA,NA
1929-03-03,1928,"Real Unión","Atlético Madrid","1-1","1-2","1","2",1,"league",NA,NA
1929-03-03,1928,"Real Madrid","Real Sociedad","2-0","2-1","2","1",1,"league",NA,NA
1929-03-03,1928,"Espanyol Barcelona","Racing Santander","1-0","3-0","3","0",1,"league",NA,NA
1929-03-03,1928,"FC Barcelona","Arenas de Getxo","1-2","2-2","2","2",1,"league",NA,NA
1929-03-03,1928,"Athletic Bilbao","CE Europa","1-0","2-0","2","0",1,"league",NA,NA
1929-03-10,1928,"CE Europa","Real Unión","2-2","3-3","3","3",1,"league",NA,NA
1929-03-10,1928,"Atlético Madrid","FC Barcelona","2-0","4-1","4","1",1,"league",NA,NA
1929-03-10,1928,"Racing Santander","Real Madrid","1-0","1-3","1","3",1,"league",NA,NA
1929-03-10,1928,"Real Sociedad","Espanyol Barcelona","0-0","1-1","1","1",1,"league",NA,NA
1929-03-10,1928,"Arenas de Getxo","Athletic Bilbao","1-0","1-0","1","0",1,"league",NA,NA
