"country","name","name_other","most_recent"
"England","Sutton United","Sutton United",NA
"England","Aberdare Athletic","Aberdare Athletic",NA
"England","Aberdare Athletic","Aat",NA
"England","Aberdare Athletic","Aberdare",NA
"England","Accrington","Accrington",NA
"England","Accrington",NA,NA
"England","Accrington F.C.","Accrington F.C.",NA
"England","Accrington F.C.","accr",NA
"England","Accrington F.C.","Accrington",NA
"England","Accrington Stanley","Accrington Stanley",NA
"England","Accrington Stanley","Acc",NA
"England","Accrington Stanley","Accrington S.",NA
"England","AFC Bournemouth","AFC Bournemouth",NA
"England","AFC Bournemouth","B&B",NA
"England","AFC Bournemouth","Bou",NA
"England","AFC Bournemouth","Bournemouth",NA
"England","AFC Bournemouth","Bournemouth&B",NA
"England","AFC Wimbledon","AFC Wimbledon",NA
"England","AFC Wimbledon","Wmb",NA
"England","Aldershot","Aldershot",NA
"England","Aldershot","Ald",NA
"England","Aldershot","Aldershot Tn.",NA
"England","Arsenal","Arsenal",NA
"England","Arsenal","Ars",NA
"England","Arsenal","WlA",NA
"England","Arsenal","Woolwich A",NA
"England","Ashington","Ashington",NA
"England","Ashington","Agt",NA
"England","Aston Villa","Aston Villa",NA
"England","Aston Villa","AV",NA
"England","Barnet","Barnet",NA
"England","Barnet","Bnt",NA
"England","Barnsley","Barnsley",NA
"England","Barnsley","Brn",NA
"England","Barrow","Barrow",NA
"England","Barrow","Brw",NA
"England","Birmingham City","Birmingham City",NA
"England","Birmingham City","Bir",NA
"England","Birmingham City","Birmingham",NA
"England","Birmingham City","Birmingham C.",NA
"England","Birmingham City","Brm",NA
"England","Birmingham City","Small Heath",NA
"England","Birmingham City","SmH",NA
"England","Blackburn Rovers","Blackburn Rovers",NA
"England","Blackburn Rovers","Blackburn R.",NA
"England","Blackburn Rovers","Blk",NA
"England","Blackburn Rovers","Blackburn",NA
"England","Blackpool","Blackpool",NA
"England","Blackpool","Blp",NA
"England","Bolton Wanderers","Bolton Wanderers",NA
"England","Bolton Wanderers","Bol",NA
"England","Bolton Wanderers","Bolton Wdrs.",NA
"England","Bolton Wanderers","Bolton",NA
"England","Bootle","Bootle",NA
"England","Bootle","Boo",NA
"England","Boston United","Boston United",NA
"England","Boston United","Bos",NA
"England","Boston United","Boston Utd.",NA
"England","Bradford City","Bradford City",NA
"England","Bradford City","Brd",NA
"England","Bradford City","Bradford",NA
"England","Bradford Park Avenue","Bradford Park Avenue",NA
"England","Bradford Park Avenue","BPA",NA
"England","Bradford Park Avenue","Bradford P.A.",NA
"England","Brentford","Brentford",NA
"England","Brentford","Bre",NA
"England","Brighton & Hove Albion","Brighton & Hove Albion",NA
"England","Brighton & Hove Albion","Brg",NA
"England","Brighton & Hove Albion","Brighton & HA",NA
"England","Brighton & Hove Albion","Brighton",NA
"England","Bristol City","Bristol City",NA
"England","Bristol City","BrC",NA
"England","Bristol Rovers","Bristol Rovers",NA
"England","Bristol Rovers","Bristol Rvs.",NA
"England","Bristol Rovers","BrR",NA
"England","Bristol Rovers","Bristol Rvs",NA
"England","Burnley","Burnley",NA
"England","Burnley","Bly",NA
"England","Burton Albion","Burton Albion",NA
"England","Burton Albion","Brt",NA
"England","Burton Albion","Burton",NA
"England","Burton Swifts","Burton Swifts",NA
"England","Burton Swifts","BtS",NA
"England","Burton United","Burton United",NA
"England","Burton United","BtU",NA
"England","Burton United","Burton Utd.",NA
"England","Burton Wanderers","Burton Wanderers",NA
"England","Burton Wanderers","BtW",NA
"England","Burton Wanderers","Burton Wdrs.",NA
"England","Bury","Bury",NA
"England","Bury","Bry",NA
"England","Cambridge United","Cambridge United",NA
